City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
19,Monte Alegre,BR,86.79,broken clouds,-2.0078,-54.0692,Hotel Shekinah
24,Umm Lajj,SA,83.37,clear sky,25.0213,37.2685,Moon light Furnished Units
26,Ada,US,75.92,broken clouds,43.4166,-116.1262,
28,Bandar-E Lengeh,IR,86.81,clear sky,26.5579,54.8807,کافی نت پارس
33,Kavieng,PG,82.81,broken clouds,-2.5744,150.7967,Nusa Island Retreat
40,Atuona,PF,76.51,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
44,Praya,CV,78.57,scattered clouds,14.9215,-23.5087,LT Aparthotel
46,Bintulu,MY,77.18,overcast clouds,3.1667,113.0333,900 Boutique INN
47,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
48,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
50,Kushima,JP,77.43,overcast clouds,31.4583,131.2333,Hanaoka
52,Ternate,ID,80.67,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
55,Laguna,US,77.61,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
57,Kapaa,US,85.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Warri,NG,75.85,overcast clouds,5.5167,5.75,GT Guesthouse
63,Kavaratti,IN,80.29,overcast clouds,10.5669,72.642,Green leaf
65,Najran,SA,79.34,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
71,Kamaishi,JP,75.99,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
74,Waingapu,ID,78.35,few clouds,-9.6567,120.2641,Pondok Wisata Elim
78,San Policarpo,PH,79.81,moderate rain,12.1791,125.5072,Agapita M. Nicart
82,Augusto Correa,BR,76.51,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
83,Kunya,NG,76.86,light rain,12.2233,8.5325,
84,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
89,Mangrol,IN,80.46,clear sky,21.1167,70.1167,Hotel The Royal Honours
90,Butaritari,KI,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
93,Nizwa,OM,81.21,clear sky,22.9333,57.5333,Orient Apartments
95,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
98,Phulpur,IN,78.75,broken clouds,25.55,82.1,Ramnath Guest House
100,Westport,US,79.75,clear sky,41.1415,-73.3579,The Westport Inn
105,Port Said,EG,78.33,clear sky,31.2565,32.2841,Aracan Hotel
107,Goderich,CA,76.91,broken clouds,43.7501,-81.7165,Harmony Inn
110,Mayo,US,82.94,clear sky,38.8876,-76.5119,Resorts Resource Group International
114,Paka,MY,76.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
118,Savannah Bight,HN,83.59,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
119,Santa Cruz,BO,85.64,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
122,Oistins,BB,83.07,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
128,Chaozhou,CN,79.68,broken clouds,23.6651,116.6379,Seven Corner View Homestay
129,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Pirineos
133,Kismayo,SO,76.08,broken clouds,-0.3582,42.5454,Agan-Hotel
134,Sisophon,KH,75.38,overcast clouds,13.5859,102.9737,Pyramid Hotel
136,Elko,US,77.05,scattered clouds,41.0002,-115.5012,
139,Wajir,KE,76.17,broken clouds,1.7471,40.0573,Mahatallah Hotel
140,Pandan,PH,82.65,overcast clouds,14.0453,124.1694,Bonifacio Lodge
141,Cedar City,US,75.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
143,Santarem,BR,86.95,broken clouds,-2.4431,-54.7083,Hotel Imperador
148,Jalu,LY,82.98,clear sky,29.0331,21.5482,صاحبة الفخامة
154,Alenquer,BR,85.82,broken clouds,-1.9417,-54.7383,Detinha Hotel
155,Bethel,US,78.49,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
157,Nalut,LY,86.04,clear sky,30.3333,10.85,
165,Sao Paulo De Olivenca,BR,83.48,overcast clouds,-3.3783,-68.8725,
167,Itarema,BR,78.1,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
169,Harper,LR,76.01,few clouds,4.375,-7.7169,Screensaver
171,Baillif,GP,81.9,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
179,Oussouye,SN,76.86,overcast clouds,12.485,-16.5469,Auberge du Routard
182,Katobu,ID,76.55,overcast clouds,-4.9408,122.5276,La Ode Husein
184,Mitsamiouli,KM,75.31,clear sky,-11.3847,43.2844,Foyer ADM
187,Natal,BR,77.11,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
189,Victoria,HK,82.33,broken clouds,22.2855,114.1577,Mini Central
194,Karachi,PK,78.62,smoke,24.9056,67.0822,Sadaat
199,Praia,CV,78.57,scattered clouds,14.9215,-23.5087,LT Aparthotel
202,Pajapan,MX,77.16,broken clouds,18.25,-94.7,Hotel Del Carmen
206,Kijang,KR,75.74,moderate rain,35.2442,129.2139,Samyang Beach Villa
212,Ajdabiya,LY,77.76,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
213,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
214,Bogalusa,US,87.78,broken clouds,30.791,-89.8487,Traveler's Rest Motel
215,Awjilah,LY,81.99,clear sky,29.1081,21.2869,المنزل
217,Bambanglipuro,ID,76.78,overcast clouds,-7.95,110.2833,Puri Brata
218,Faanui,PF,78.75,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
230,Kutum,SD,78.78,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
231,Barcelos,PT,77.92,broken clouds,41.5388,-8.6151,Hotel Do Terço
233,Tautira,PF,78.31,few clouds,-17.7333,-149.15,Pension Oaoa
235,Amapa,BR,78.76,broken clouds,1.0,-52.0,
237,Sukumo,JP,78.33,heavy intensity rain,32.9333,132.7333,Sukumojo
243,Awbari,LY,83.98,clear sky,26.5921,12.7805,فندق أوباري
251,Sinnamary,GF,79.74,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
252,Shwebo,MM,76.1,broken clouds,22.5667,95.7,MOON SHINE Guest House
259,Kahului,US,86.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
262,Garden City,US,81.05,broken clouds,42.3256,-83.331,Big Trees Mobile Home Community
264,Touros,BR,77.45,few clouds,-5.1989,-35.4608,INN NEW HORIZON
270,Songkhla,TH,80.83,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
273,Naze,JP,77.52,overcast clouds,28.3667,129.4833,Shishime Hotel
274,Nichinan,JP,77.76,light rain,31.6,131.3667,Guest House Aki
275,Luganville,VU,80.98,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
277,Enumclaw,US,75.38,few clouds,47.2043,-121.9915,Cedars Inn
279,Rincon,US,79.92,broken clouds,32.296,-81.2354,Days Inn Rincon
292,Maningrida,AU,83.34,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
296,Seoul,KR,78.19,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
297,Kalmunai,LK,79.2,overcast clouds,7.4167,81.8167,VS Villa
300,Atar,MR,88.65,overcast clouds,20.5169,-13.0499,Oumou Elghoura
302,Lompoc,US,75.85,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
304,Yurimaguas,PE,89.17,clear sky,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
305,Port Maria,JM,84.06,broken clouds,18.3685,-76.8895,Galina Breeze Hotel
306,Portland,US,79.93,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
307,Hasaki,JP,81.28,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
317,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
321,Sur,OM,81.05,clear sky,22.5667,59.5289,Sur Plaza Hotel
327,Pachino,IT,75.31,scattered clouds,36.7186,15.0907,Il Veliero
329,Aswan,EG,83.48,clear sky,24.0934,32.907,Nuba Nile
335,Sharjah,AE,89.89,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
336,West Wendover,US,78.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
338,Buraydah,SA,83.89,clear sky,26.326,43.975,Mövenpick Qassim
340,Labuhan,ID,77.2,scattered clouds,-6.8844,112.2051,DoubleFAG
341,Charters Towers,AU,77.79,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
344,Bonthe,SL,75.0,light rain,7.5264,-12.505,Bonthe Holiday Village
348,Isangel,VU,79.72,broken clouds,-19.55,169.2667,Tanna Lodge
349,Sokolo,ML,83.88,scattered clouds,14.7328,-6.1219,
353,Adrar,MR,88.59,broken clouds,20.5022,-10.0711,
360,Trairi,BR,78.12,scattered clouds,-3.2778,-39.2689,janelas do mar
362,Jimenez,MX,84.52,broken clouds,28.3333,-105.4,El torreon
363,Alofi,NU,76.84,clear sky,-19.0595,-169.9187,Taloa Heights
367,Lorengau,PG,84.33,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
370,Bathsheba,BB,83.44,few clouds,13.2167,-59.5167,Atlantis Hotel
372,Sao Filipe,CV,78.31,scattered clouds,14.8961,-24.4956,Hotel Xaguate
373,Coahuayana,MX,76.23,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
375,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
377,Gamba,GA,75.11,overcast clouds,-2.65,10.0,
378,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
387,Palmer,US,77.32,broken clouds,42.1584,-72.3287,Wedgewood Motel
391,Ibra,OM,79.75,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
397,Benjamin Aceval,PY,80.74,scattered clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
398,Sabang,ID,82.04,overcast clouds,5.8933,95.3214,Hotel Citra
404,Manggar,ID,78.78,heavy intensity rain,-2.8833,108.2667,Guest Hotel
407,Libreville,GA,76.62,overcast clouds,0.3925,9.4537,Hotel Kreg Le Patio
411,North Bend,US,75.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
413,Cabedelo,BR,76.51,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
419,Banda Aceh,ID,78.67,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
421,Mogadishu,SO,76.82,broken clouds,2.0371,45.3438,Hotel Juba
422,High Rock,BS,83.43,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
425,Cockburn Town,TC,83.16,few clouds,21.4612,-71.1419,Osprey Beach Hotel
426,Nicolas Bravo,MX,84.67,few clouds,18.45,-88.9167,
429,Matadi,CD,76.59,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
430,Pismo Beach,US,76.3,overcast clouds,35.1428,-120.6413,SeaCrest OceanFront Hotel
432,Mwense,ZM,76.77,broken clouds,-10.3845,28.698,Mwense Council Guest House
434,Hambantota,LK,78.98,overcast clouds,6.1241,81.1185,Bungalow 63
440,Bardiyah,LY,76.26,clear sky,31.7561,25.0865,بورتو بردية
446,Innisfail,AU,79.5,scattered clouds,-17.5333,146.0333,Moondarra Motel
447,Ingham,US,80.55,clear sky,42.6,-84.3833,Sunset Mobile Home Park
449,Balkanabat,TM,78.75,clear sky,39.5108,54.3671,Nebitchi Hotel
460,Mansa,IN,77.45,clear sky,29.9833,75.3833,STARiHOTEL Mansa
461,Hobyo,SO,76.3,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
466,Southbridge,US,76.68,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
467,Thinadhoo,MV,82.13,overcast clouds,0.5333,72.9333,
469,Khanewal,PK,81.68,clear sky,30.3,71.9333,Hakeemabad
471,Marsh Harbour,BS,84.06,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
474,Monrovia,LR,75.58,few clouds,6.3005,-10.7969,Sunset Inn
478,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
479,Athens,GR,76.15,clear sky,37.9795,23.7162,Safestay Athens
483,Sao Felix Do Xingu,BR,82.13,broken clouds,-6.6447,-51.995,Rio Xingu Camping
490,Cosala,MX,84.45,overcast clouds,24.4125,-106.6908,Hotel Real del Conde
498,Mastic Beach,US,76.69,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
500,Las Cruces,US,82.35,moderate rain,32.3123,-106.7783,SpringHill Suites by Marriott Las Cruces
501,Kidal,ML,87.67,overcast clouds,18.4411,1.4078,
505,Effingham,US,84.63,scattered clouds,32.3669,-81.3332,Countryside Village
510,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
513,Pizarro,CO,76.55,moderate rain,4.9533,-77.366,Hotel Limonar
517,Honiara,SB,84.85,overcast clouds,-9.4333,159.95,Heritage Park Hotel
524,Mayumba,GA,75.09,overcast clouds,-3.432,10.6554,LIKWALE LODGE
527,Feijo,BR,84.88,broken clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
528,La Cruz,MX,86.07,overcast clouds,23.9167,-106.9,Jesús angel
530,Tezu,IN,75.09,scattered clouds,27.9167,96.1667,Circuit House
534,Mapastepec,MX,80.31,overcast clouds,15.4333,-92.9,Hotel San Carlos
535,Havelock,US,80.94,broken clouds,34.8791,-76.9013,Sherwood Motel
538,Popondetta,PG,86.79,overcast clouds,-8.7537,148.2534,Timos Transit House
539,Presidencia Roque Saenz Pena,AR,80.83,broken clouds,-26.7852,-60.4388,Hotel Gualok
541,Puerto Escondido,MX,79.63,thunderstorm,15.85,-97.0667,Aldea del Bazar Hotel and Spa
546,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
547,Port Blair,IN,81.7,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
549,Kirkuk,IQ,88.99,clear sky,35.4681,44.3922,Cihad Oteli
550,Hirara,JP,80.85,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
551,Namatanai,PG,82.08,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
555,Hajipur,IN,80.6,overcast clouds,25.6833,85.2167,Sunderwati Niketan
556,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
561,Moranbah,AU,78.48,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
566,Odweyne,SO,77.76,broken clouds,9.4092,45.064,Eng Hiirey House
568,Taitung,TW,75.47,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
571,Yangjiang,CN,79.93,broken clouds,21.85,111.9667,HUALUXE Yangjiang City Center
572,Kilindoni,TZ,75.81,scattered clouds,-7.9139,39.6668,Bustani B&B
578,Bocana De Paiwas,NI,78.75,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
580,Kununurra,AU,75.18,few clouds,-15.7667,128.7333,Hotel Kununurra
582,Neiafu,TO,77.9,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
591,Ormara,PK,79.32,clear sky,25.2088,64.6357,Kenara Colony House for Rent
594,Matara,LK,77.61,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
599,Mikuni,JP,83.1,overcast clouds,36.2171,136.1519,Seifuso
604,Wattegama,LK,75.88,overcast clouds,6.7989,81.4808,
606,Avera,US,83.55,overcast clouds,33.194,-82.5271,
608,Tadine,NC,76.87,clear sky,-21.55,167.8833,
610,Mehran,IR,86.02,clear sky,33.1222,46.1646,بوتیک زنانه بهار
611,Bafoulabe,ML,75.43,light rain,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
613,Zaranj,AF,78.84,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
621,Clifton,US,81.88,scattered clouds,40.8584,-74.1638,Quality Urban Housing
624,Omboue,GA,76.14,overcast clouds,-1.5746,9.2618,Hotel Olako
626,Davila,PH,80.82,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
629,Russell,US,84.96,clear sky,32.3502,-85.1999,Macs
631,Camopi,GF,81.36,broken clouds,3.1655,-52.3158,La pousada
634,Kalawit,PH,79.34,broken clouds,8.0667,122.5167,Ompoy Pension House
636,Pedernales,DO,83.37,broken clouds,18.0384,-71.744,Hotel Costa Marina
637,Grand-Santi,GF,79.88,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
639,Sakaiminato,JP,82.27,moderate rain,35.55,133.2333,Italian pasley
645,Freeport,US,82.38,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
652,Humberto De Campos,BR,77.86,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
654,Baculin,PH,79.99,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
656,Ratnagiri,IN,75.72,overcast clouds,16.9833,73.3,Hotel Landmark
658,Las Choapas,MX,80.26,overcast clouds,17.9333,-94.0833,Hotel Jysmak
663,Nchelenge,ZM,75.81,overcast clouds,-9.3451,28.734,KD Travellers Home
664,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
665,Riyadh,SA,85.86,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
668,Kailua,US,85.48,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
670,Palauig,PH,79.86,overcast clouds,15.435,119.9045,Villa Raphael Resort
679,Diamantino,BR,89.2,broken clouds,-14.4086,-56.4461,Hotel Delta
680,Pochutla,MX,75.02,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
683,Puerto Carreno,CO,81.45,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
684,Filadelfia,US,80.62,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
690,Clinton,US,81.12,broken clouds,42.587,-82.9199,River's Edge
693,Papillion,US,85.91,clear sky,41.1544,-96.0422,lalithya constructions the lake shore
696,Yonkers,US,82.06,clear sky,40.9312,-73.8988,Yonkers Gateway Motel
699,Sterling,US,81.34,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
702,Mahasamund,IN,75.36,overcast clouds,21.1,82.1,mauhari bhantha mahasamund
703,Katherine,AU,82.72,few clouds,-14.4667,132.2667,Pine Tree Motel
704,Teahupoo,PF,78.76,scattered clouds,-17.8333,-149.2667,Vanira Lodge
705,Casper,US,81.72,scattered clouds,42.8666,-106.3131,Ramkota Hotel
